game,eta,n_train,method,test_median
2,0.5,2,SUB,0.9137424050309664
2,0.5,2,VI,1.1958185481156796
2,0.5,5,SUB,0.33640478051879336
2,0.5,5,VI,1.9778150107916448
2,0.5,10,SUB,0.26461475943682133
2,0.5,10,VI,2.012212103734623
2,0.5,20,SUB,0.1594626612989991
2,0.5,20,VI,2.036154051127105
2,0.5,30,SUB,0.1750499502131012
2,0.5,30,VI,2.0361329829717345
3,0.0,2,SUB,0.2588685500346025
3,0.0,2,VI,0.25245459105978807
3,0.0,5,SUB,0.0323678693668735
3,0.0,5,VI,0.01432511847749572
3,0.0,10,SUB,0.021547599550131455
3,0.0,10,VI,0.003887501957052212
3,0.0,20,SUB,0.017741047540887248
3,0.0,20,VI,4.787959884533713e-06
3,0.0,30,SUB,0.016577497351205825
3,0.0,30,VI,0.00015163807271840375
3,0.5,2,SUB,0.5954418237014125
3,0.5,2,VI,0.754898725204605
3,0.5,5,SUB,0.34533384075402707
3,0.5,5,VI,1.9501489805212096
3,0.5,10,SUB,0.2643550857980882
3,0.5,10,VI,1.9468785442963341
3,0.5,20,SUB,0.16540118434208398
3,0.5,20,VI,1.9315152001899272
3,0.5,30,SUB,0.16705742936685233
3,0.5,30,VI,1.9844680817606104
4,0.0,2,SUB,0.0713439613153238
4,0.0,2,VI,0.06785298618209071
4,0.0,5,SUB,0.12106928934793805
4,0.0,5,VI,0.07346828554260232
4,0.0,10,SUB,0.013498263694064584
4,0.0,10,VI,1.6450704646265494e-05
4,0.0,20,SUB,0.016601345912947367
4,0.0,20,VI,0.00022720927799908173
4,0.0,30,SUB,0.011811967337109826
4,0.0,30,VI,0.00015150391094153918
4,0.5,2,SUB,0.6816771459021169
4,0.5,2,VI,0.7015470081746902
4,0.5,5,SUB,0.3365179789842972
4,0.5,5,VI,2.2000839489032393
4,0.5,10,SUB,0.27501746348466977
4,0.5,10,VI,2.198755517438478
4,0.5,20,SUB,0.24419498765378875
4,0.5,20,VI,2.1485204289935638
4,0.5,30,SUB,0.1992266420315758
4,0.5,30,VI,2.2032743228501817
5,0.0,2,SUB,0.5360552112698399
5,0.0,2,VI,0.21023218886870843
5,0.0,5,SUB,0.07808016129204959
5,0.0,5,VI,0.07657771091962547
5,0.0,10,SUB,0.013921916270585033
5,0.0,10,VI,0.00013144353583866957
5,0.0,20,SUB,0.011807119311969354
5,0.0,20,VI,6.99422752540243e-05
5,0.0,30,SUB,0.011197972846059896
5,0.0,30,VI,4.718892557952727e-05
5,0.5,2,SUB,0.4398808178098687
5,0.5,2,VI,0.5407774204309446
5,0.5,5,SUB,0.2981035201224777
5,0.5,5,VI,1.876651412339314
5,0.5,10,SUB,0.22990785358654142
5,0.5,10,VI,1.921686104170362
5,0.5,20,SUB,0.20228458987720221
5,0.5,20,VI,1.928900971361684
5,0.5,30,SUB,0.18314480302550523
5,0.5,30,VI,1.9086295142424796
6,0.0,2,SUB,0.5922068138791948
6,0.0,2,VI,0.4169873349754021
6,0.0,5,SUB,0.08088129409413895
6,0.0,5,VI,0.0169366290693695
6,0.0,10,SUB,0.011773550021356681
6,0.0,10,VI,1.3317793130158837e-05
6,0.0,20,SUB,0.013074043919376473
6,0.0,20,VI,0.0005791874606009488
6,0.0,30,SUB,0.013786403274951058
6,0.0,30,VI,9.194848211519538e-05
6,0.5,2,SUB,0.47046440447683235
6,0.5,2,VI,0.5621089611250656
6,0.5,5,SUB,0.3132372192157567
6,0.5,5,VI,1.8160514497943527
6,0.5,10,SUB,0.20000636814770115
6,0.5,10,VI,1.858902215209358
6,0.5,20,SUB,0.1759664488647808
6,0.5,20,VI,1.811487139984818
6,0.5,30,SUB,0.1650694903970853
6,0.5,30,VI,1.869772733409115
7,0.0,2,SUB,0.23509766589077358
7,0.0,2,VI,0.23473653410832468
7,0.0,5,SUB,0.032948019791248305
7,0.0,5,VI,0.004154003289073558
7,0.0,10,SUB,0.04074677203485805
7,0.0,10,VI,0.0021295133174331375
7,0.0,20,SUB,0.011105416449472133
7,0.0,20,VI,0.00012843639520660312
7,0.0,30,SUB,0.011662989357432055
7,0.0,30,VI,8.338887452524226e-07
7,0.5,2,SUB,1.1210922295141335
7,0.5,2,VI,1.3532820973772166
7,0.5,5,SUB,0.2800819353206377
7,0.5,5,VI,1.9120266114302904
7,0.5,10,SUB,0.2449776937113614
