game,eta,method,test_median,theta_err,time,mu,L,lambda_min_M
0,0.0,SUB,0.03448324306778725,0.31742632853675495,1.0653772499936167,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.0,VI,7.117659537137915e-08,0.28176738953693764,0.1043500829837285,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.01,SUB,0.029442637226271204,0.3181096037062681,1.0301944160019048,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.01,VI,0.007119069228027694,0.5819652585274219,0.05582162499194965,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.05,SUB,0.05449918440172655,0.31985971516530837,1.0693039580073673,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.05,VI,2.032693635694903,0.979023818138203,0.05471958301495761,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.1,SUB,0.056460175333360896,0.32031710306070793,1.0403983339783736,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.1,VI,2.0240795599174812,0.9790238660410947,0.05549870798131451,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.3,SUB,0.13042637634203263,0.3314266960485328,1.0503267500025686,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.3,VI,2.032686132551559,0.9790189795922302,0.06539545799023472,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.5,SUB,0.15649739258789958,0.3483120546927996,1.0406356249877717,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.5,VI,2.015853405750894,0.979022301235748,0.05662029099767096,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.7,SUB,0.26173550949363694,0.4067001052288323,1.0462303750100546,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.7,VI,2.015829876694414,0.9790223111847772,0.04672937499708496,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.9,SUB,0.28148137376844407,0.4258070576049096,1.0441453329985961,0.7201786548387602,1.716800227059677,0.24622074700327856
0,0.9,VI,2.0446613769787563,0.9790238159890049,0.057174415996996686,0.7201786548387602,1.716800227059677,0.24622074700327856
0,1.0,SUB,0.2980064915805424,0.5111625075767772,1.039094165986171,0.7201786548387602,1.716800227059677,0.24622074700327856
0,1.0,VI,1.978359314316486,0.9790247913050572,0.045225457986816764,0.7201786548387602,1.716800227059677,0.24622074700327856
1,0.0,SUB,0.03591003332678818,0.3313769199299772,1.0470181250129826,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.0,VI,0.0001246345386067082,0.30118470580296214,0.04599520901683718,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.01,SUB,0.04105400436873811,0.33103882086259523,1.0572912080097012,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.01,VI,0.007216214332346994,0.6028131380382054,0.06262808298924938,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.05,SUB,0.05810009661382677,0.3339412555071798,1.197950417001266,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.05,VI,1.9441031342822885,0.9989682326522037,0.06897387499338947,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.1,SUB,0.08865801208371137,0.33625225268837144,1.0401626660022885,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.1,VI,1.9410830594065753,0.9997412625839198,0.0591501249873545,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.3,SUB,0.1676296033430879,0.3605828335595591,1.086068541975692,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.3,VI,1.9523125406788155,1.0017738891808472,0.05815904200426303,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.5,SUB,0.21495999587641618,0.3761334067063233,1.083296083001187,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.5,VI,1.9877489465789835,1.0146798310330547,0.05802954098908231,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.7,SUB,0.3008833642151697,0.4092071670763059,1.0388603750034235,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.7,VI,1.9829618649072138,1.0146826801606714,0.04435425001429394,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.9,SUB,0.295866005708048,0.44722928102855336,1.0460699580144137,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,0.9,VI,1.987901490594211,1.0146813581987868,0.04389387500123121,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,1.0,SUB,0.36167465127762183,0.4745799568795885,1.066968833009014,0.8337271560666919,1.6687657210840592,0.2707142916594396
1,1.0,VI,1.9789851002890506,1.0146848388258578,0.044698750018142164,0.8337271560666919,1.6687657210840592,0.2707142916594396
2,0.0,SUB,0.03252288113207964,0.36447534513201496,1.0424604169966187,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.0,VI,0.00026732467916523023,0.3051535898991043,0.058416916988790035,0.7744101789257121,1.7317596779231685,0.2718502370220793
2,0.01,SUB,0.033348734195566006,0.36507038824259497,1.0460239170060959,0.7744101789257121,1.7317596779231685,0.2718502370220793
