game,eta,method,sample,error
0,0.0,SUB,0,0.033245717342497066
0,0.0,SUB,1,0.05674409330969874
0,0.0,SUB,2,0.02962820861590243
0,0.0,SUB,3,0.03798724835995359
0,0.0,SUB,4,0.03177566072853356
0,0.0,SUB,5,0.017708930306321244
0,0.0,SUB,6,0.034399507686130974
0,0.0,SUB,7,0.03723344325978516
0,0.0,SUB,8,0.028734742393704108
0,0.0,SUB,9,0.03392566306434391
0,0.0,SUB,10,0.025667290415389874
0,0.0,SUB,11,0.030278260560468277
0,0.0,SUB,12,0.023329895048159893
0,0.0,SUB,13,0.04801306227329782
0,0.0,SUB,14,0.039038253498529664
0,0.0,SUB,15,0.03163033460802363
0,0.0,SUB,16,0.02540534352076531
0,0.0,SUB,17,0.035374955136643606
0,0.0,SUB,18,0.02956780040480409
0,0.0,SUB,19,0.03510679481552484
0,0.0,SUB,20,0.02128941903977636
0,0.0,SUB,21,0.03167635909898965
0,0.0,SUB,22,0.037041895525811344
0,0.0,SUB,23,0.04162555757623217
0,0.0,SUB,24,0.02681969289917292
0,0.0,SUB,25,0.05272518334100613
0,0.0,SUB,26,0.038973266707653526
0,0.0,SUB,27,0.0438491227857257
0,0.0,SUB,28,0.045594014018458334
0,0.0,SUB,29,0.03069938978817422
0,0.0,SUB,30,0.037446605866664824
0,0.0,SUB,31,0.031429271889804766
0,0.0,SUB,32,0.04878417955953154
0,0.0,SUB,33,0.0391026223531149
0,0.0,SUB,34,0.02938099375874884
0,0.0,SUB,35,0.05259176931859248
0,0.0,SUB,36,0.05803013448975124
0,0.0,SUB,37,0.04457247642234544
0,0.0,SUB,38,0.02592108912713558
0,0.0,SUB,39,0.026697295532044505
0,0.0,SUB,40,0.03456697844944353
0,0.0,SUB,41,0.04405602260649813
0,0.0,SUB,42,0.0429070419029129
0,0.0,SUB,43,0.028345455955546755
0,0.0,SUB,44,0.020974617018762978
0,0.0,SUB,45,0.04948159407686788
0,0.0,SUB,46,0.023107456501579176
0,0.0,SUB,47,0.02783906820050355
0,0.0,SUB,48,0.05903019963006739
0,0.0,SUB,49,0.03475238215003948
0,0.0,VI,0,7.7053213664124e-08
0,0.0,VI,1,5.862377539098635e-08
0,0.0,VI,2,4.493149270220591e-08
0,0.0,VI,3,1.2643559675182758e-07
0,0.0,VI,4,6.961094020892865e-08
0,0.0,VI,5,5.3688903578945257e-08
0,0.0,VI,6,0.009302640423954739
